frame_index,timestamp_s,inference_latency_ms,detection_count,max_confidence
0,0.0,109.452,0,0.0
2,0.066667,106.209,0,0.0
4,0.133333,110.289,4,0.869951
6,0.2,112.525,5,0.882905
8,0.266667,116.271,5,0.89428
10,0.333333,111.094,5,0.894559
12,0.4,106.568,7,0.900542
14,0.466667,112.812,6,0.900737
16,0.533333,108.48,6,0.901193
18,0.6,106.142,5,0.907013
20,0.666667,108.316,6,0.908248
22,0.733333,109.505,5,0.908729
24,0.8,109.324,5,0.90905
26,0.866667,107.643,5,0.913534
28,0.933333,110.587,6,0.913693
30,1.0,109.141,6,0.913399
32,1.066667,105.775,6,0.910624
34,1.133333,106.821,6,0.911833
36,1.2,105.771,6,0.911555
38,1.266667,109.852,5,0.909356
40,1.333333,107.651,5,0.909281
42,1.4,109.487,5,0.910054
44,1.466667,106.345,5,0.910035
46,1.533333,109.476,5,0.909937
48,1.6,108.741,5,0.909829
50,1.666667,110.722,5,0.911588
52,1.733333,107.837,5,0.911547
54,1.8,110.81,5,0.911149
56,1.866667,108.398,5,0.911171
58,1.933333,111.856,5,0.911154
60,2.0,108.979,5,0.911138
62,2.066667,112.971,5,0.912081
64,2.133333,108.532,5,0.91366
66,2.2,107.758,5,0.913229
68,2.266667,108.325,5,0.913306
70,2.333333,106.074,5,0.912476
72,2.4,109.823,5,0.913194
74,2.466667,114.794,5,0.913031
76,2.533333,104.908,5,0.912996
78,2.6,106.494,5,0.912465
80,2.666667,110.096,5,0.912704
82,2.733333,109.583,5,0.913336
84,2.8,108.249,5,0.913434
86,2.866667,107.947,5,0.913364
88,2.933333,107.339,5,0.913336
90,3.0,126.91,5,0.91353
92,3.066667,113.887,5,0.913519
94,3.133333,114.674,5,0.913499
96,3.2,107.109,5,0.913683
98,3.266667,106.301,5,0.913523
100,3.333333,107.711,5,0.913491
102,3.4,107.899,5,0.913527
104,3.466667,118.217,5,0.913487
106,3.533333,108.268,5,0.913494
108,3.6,107.984,5,0.913479
110,3.666667,109.373,5,0.913448
112,3.733333,111.941,5,0.913445
114,3.8,109.323,5,0.913461
116,3.866667,216.63,5,0.913416
118,3.933333,109.879,5,0.91342
120,4.0,108.198,5,0.913419
122,4.066667,109.187,5,0.913417
124,4.133333,109.806,5,0.913307
126,4.2,113.036,5,0.91553
128,4.266667,109.292,5,0.915539
130,4.333333,107.831,6,0.915301
132,4.4,110.729,6,0.915298
134,4.466667,110.641,6,0.916006
136,4.533333,109.435,6,0.916055
138,4.6,104.968,6,0.914928
140,4.666667,107.43,6,0.914991
142,4.733333,109.206,6,0.914716
144,4.8,107.392,6,0.915053
146,4.866667,109.482,6,0.914916
148,4.933333,106.801,6,0.914752
150,5.0,106.444,6,0.914666
152,5.066667,109.216,6,0.915567
154,5.133333,122.633,6,0.915558
156,5.2,112.771,6,0.91586
158,5.266667,109.487,6,0.916099
160,5.333333,107.464,6,0.916736
162,5.4,106.321,6,0.916686
164,5.466667,106.909,6,0.916497
166,5.533333,108.9,6,0.916404
168,5.6,120.497,6,0.915997
170,5.666667,111.359,6,0.915827
172,5.733333,109.402,6,0.915766
174,5.8,108.919,6,0.915744
176,5.866667,107.877,6,0.916071
178,5.933333,108.971,6,0.915161
180,6.0,109.899,6,0.915161
182,6.066667,107.04,6,0.91525
184,6.133333,108.03,6,0.91515
186,6.2,108.187,6,0.913916
188,6.266667,111.5,6,0.914595
190,6.333333,109.384,6,0.914647
192,6.4,109.209,6,0.91487
194,6.466667,107.605,6,0.914364
196,6.533333,107.074,6,0.913855
198,6.6,109.701,6,0.913971
200,6.666667,109.312,6,0.913832
202,6.733333,106.057,6,0.914103
204,6.8,112.021,6,0.913874
206,6.866667,107.025,6,0.914265
208,6.933333,107.348,6,0.912906
210,7.0,107.917,6,0.912933
212,7.066667,106.458,6,0.912769
214,7.133333,108.074,6,0.912713
216,7.2,112.141,6,0.912657
218,7.266667,107.99,7,0.913174
220,7.333333,107.729,6,0.913571
222,7.4,109.44,6,0.914672
224,7.466667,110.846,6,0.914746
226,7.533333,107.413,6,0.914405
228,7.6,106.954,6,0.915014
230,7.666667,105.646,6,0.914874
232,7.733333,107.021,6,0.914767
234,7.8,110.532,6,0.914153
236,7.866667,108.34,6,0.915654
238,7.933333,107.575,6,0.915705
240,8.0,107.656,6,0.915698
242,8.066667,105.793,5,0.916072
244,8.133333,108.34,5,0.916256
246,8.2,109.191,6,0.915756
248,8.266667,110.588,6,0.916073
250,8.333333,128.614,6,0.913777
252,8.4,111.508,6,0.913363
254,8.466667,108.544,6,0.913657
256,8.533333,108.774,6,0.913688
258,8.6,107.812,6,0.912419
260,8.666667,106.698,6,0.913202
262,8.733333,110.371,6,0.913878
264,8.8,108.628,6,0.91361
266,8.866667,110.017,6,0.914533
268,8.933333,108.212,6,0.913818
270,9.0,109.661,6,0.913674
272,9.066667,107.949,6,0.913879
274,9.133333,106.717,6,0.91425
276,9.2,107.015,6,0.914181
278,9.266667,108.913,6,0.914369
280,9.333333,107.617,6,0.914439
282,9.4,109.751,6,0.914155
284,9.466667,108.204,6,0.914048
286,9.533333,109.212,6,0.914099
288,9.6,106.629,6,0.913824
290,9.666667,105.144,6,0.913966
292,9.733333,108.579,6,0.913924
294,9.8,110.232,6,0.913981
296,9.866667,107.999,6,0.913829
298,9.933333,107.481,6,0.913717
300,10.0,108.531,6,0.913177
302,10.066667,108.51,5,0.908403
304,10.133333,107.232,6,0.906954
306,10.2,104.814,6,0.906791
308,10.266667,107.426,6,0.906489
310,10.333333,109.721,6,0.907233
312,10.4,107.312,6,0.90872
314,10.466667,106.854,6,0.9093
316,10.533333,114.689,6,0.908935
318,10.6,109.245,6,0.908788
320,10.666667,108.654,6,0.909015
322,10.733333,107.178,6,0.909401
324,10.8,107.461,6,0.908832
326,10.866667,104.361,6,0.908804
328,10.933333,108.895,6,0.908508
330,11.0,109.037,6,0.90947
332,11.066667,122.309,6,0.909479
334,11.133333,106.243,6,0.908509
336,11.2,107.159,6,0.907981
338,11.266667,108.757,6,0.909318
340,11.333333,107.492,6,0.908817
342,11.4,107.86,6,0.908479
344,11.466667,111.325,6,0.908198
346,11.533333,108.983,6,0.90782
348,11.6,106.991,6,0.908226
350,11.666667,107.133,6,0.907809
352,11.733333,109.539,6,0.909497
354,11.8,108.388,6,0.909189
356,11.866667,108.809,6,0.909333
358,11.933333,107.945,6,0.908595
360,12.0,109.189,6,0.908371
362,12.066667,106.81,6,0.908742
364,12.133333,108.814,6,0.908823
366,12.2,107.099,6,0.906813
368,12.266667,105.901,6,0.906812
370,12.333333,109.355,5,0.907872
372,12.4,107.023,6,0.907649
374,12.466667,106.856,6,0.907646
376,12.533333,108.443,6,0.907961
378,12.6,107.988,6,0.907866
380,12.666667,106.972,6,0.907942
382,12.733333,108.959,6,0.909485
384,12.8,112.398,6,0.908285
386,12.866667,107.348,5,0.911074
388,12.933333,107.022,5,0.911178
390,13.0,108.231,5,0.911604
392,13.066667,107.035,5,0.911294
394,13.133333,106.92,5,0.910805
396,13.2,112.061,5,0.910883
398,13.266667,107.965,5,0.911128
400,13.333333,110.153,5,0.911365
402,13.4,108.628,5,0.911762
404,13.466667,107.624,5,0.911572
406,13.533333,111.051,5,0.911227
408,13.6,107.942,5,0.911339
410,13.666667,111.686,5,0.911434
412,13.733333,119.035,5,0.911377
414,13.8,121.245,5,0.911433
416,13.866667,120.759,5,0.911422
418,13.933333,107.963,5,0.911479
420,14.0,108.23,5,0.911365
422,14.066667,108.108,5,0.911594
424,14.133333,109.575,5,0.911572
426,14.2,109.781,5,0.911535
428,14.266667,106.415,5,0.911192
430,14.333333,106.094,5,0.913445
432,14.4,107.721,5,0.913622
434,14.466667,106.81,5,0.913737
436,14.533333,108.763,5,0.913347
438,14.6,107.508,5,0.913537
440,14.666667,106.304,5,0.913556
442,14.733333,108.017,5,0.91179
444,14.8,106.511,5,0.912166
446,14.866667,107.587,5,0.91235
448,14.933333,107.804,5,0.912542
450,15.0,106.433,5,0.912152
452,15.066667,109.258,6,0.912095
454,15.133333,109.484,6,0.911352
456,15.2,108.401,6,0.911998
458,15.266667,109.507,5,0.910204
460,15.333333,115.139,5,0.909867
462,15.4,150.412,5,0.910155
464,15.466667,108.95,5,0.909822
466,15.533333,107.902,5,0.911236
468,15.6,107.921,5,0.914356
470,15.666667,107.071,5,0.912961
472,15.733333,106.922,5,0.912906
474,15.8,109.232,5,0.913528
476,15.866667,106.588,5,0.913137
478,15.933333,116.24,5,0.913305
480,16.0,110.981,5,0.914126
482,16.066667,107.547,5,0.913109
484,16.133333,110.161,5,0.913106
486,16.2,107.575,5,0.91225
488,16.266667,111.992,5,0.912857
490,16.333333,111.028,5,0.912827
492,16.4,110.596,5,0.913341
494,16.466667,130.404,5,0.9126
496,16.533333,108.719,5,0.912423
498,16.6,107.885,5,0.912427
500,16.666667,109.376,5,0.915055
502,16.733333,107.224,5,0.915132
504,16.8,107.967,5,0.915
506,16.866667,110.556,5,0.914927
508,16.933333,106.986,5,0.914794
510,17.0,109.976,5,0.914869
512,17.066667,109.251,5,0.914903
514,17.133333,106.925,6,0.916395
516,17.2,107.13,6,0.916387
518,17.266667,108.49,6,0.915895
520,17.333333,116.012,6,0.916583
522,17.4,108.194,6,0.916545
524,17.466667,107.268,6,0.916609
526,17.533333,108.863,6,0.916063
528,17.6,106.459,6,0.916526
530,17.666667,111.637,6,0.916184
532,17.733333,108.264,6,0.916621
534,17.8,109.761,6,0.916092
536,17.866667,107.567,6,0.916238
538,17.933333,108.527,7,0.915913
540,18.0,107.003,6,0.916208
542,18.066667,106.274,6,0.915722
544,18.133333,108.689,6,0.915867
546,18.2,118.711,6,0.915839
548,18.266667,107.736,6,0.916101
550,18.333333,107.208,6,0.915635
552,18.4,107.054,6,0.915651
554,18.466667,105.521,6,0.916072
556,18.533333,107.0,6,0.916007
558,18.6,108.258,6,0.916076
560,18.666667,106.397,6,0.916571
562,18.733333,108.007,6,0.916327
564,18.8,106.53,6,0.916477
566,18.866667,110.219,6,0.916286
568,18.933333,109.282,6,0.916392
570,19.0,109.437,6,0.91638
572,19.066667,106.601,6,0.916578
574,19.133333,122.064,6,0.916419
576,19.2,130.257,6,0.916396
578,19.266667,113.173,6,0.916441
580,19.333333,109.418,6,0.916635
582,19.4,106.984,6,0.916453
584,19.466667,106.603,6,0.916428
586,19.533333,106.679,6,0.916435
588,19.6,110.162,6,0.916376
590,19.666667,110.394,6,0.916375
592,19.733333,108.264,6,0.916375
594,19.8,108.172,6,0.916375
596,19.866667,106.688,6,0.916375
598,19.933333,111.592,6,0.916375
