frame_index,timestamp_s,inference_latency_ms,detection_count,max_confidence
0,0.0,106.657,0,0.0
10,0.333333,107.028,5,0.894559
20,0.666667,109.938,6,0.908248
30,1.0,108.791,6,0.913399
40,1.333333,108.031,5,0.909281
50,1.666667,107.614,5,0.911588
60,2.0,112.654,5,0.911138
70,2.333333,108.314,5,0.912476
80,2.666667,108.806,5,0.912704
90,3.0,107.168,5,0.91353
100,3.333333,109.423,5,0.913491
110,3.666667,107.392,5,0.913448
120,4.0,109.545,5,0.913419
130,4.333333,129.617,6,0.915301
140,4.666667,108.846,6,0.914991
150,5.0,108.932,6,0.914666
160,5.333333,108.626,6,0.916736
170,5.666667,108.558,6,0.915827
180,6.0,108.093,6,0.915161
190,6.333333,109.302,6,0.914647
200,6.666667,111.484,6,0.913832
210,7.0,112.108,6,0.912933
220,7.333333,110.534,6,0.913571
230,7.666667,109.028,6,0.914874
240,8.0,112.228,6,0.915698
250,8.333333,109.576,6,0.913777
260,8.666667,111.932,6,0.913202
270,9.0,109.791,6,0.913674
280,9.333333,109.466,6,0.914439
290,9.666667,108.849,6,0.913966
300,10.0,107.599,6,0.913177
310,10.333333,108.362,6,0.907233
320,10.666667,112.099,6,0.909015
330,11.0,107.812,6,0.90947
340,11.333333,110.308,6,0.908817
350,11.666667,112.276,6,0.907809
360,12.0,108.029,6,0.908371
370,12.333333,108.894,5,0.907872
380,12.666667,112.959,6,0.907942
390,13.0,108.252,5,0.911604
400,13.333333,108.567,5,0.911365
410,13.666667,119.89,5,0.911434
420,14.0,108.564,5,0.911365
430,14.333333,111.21,5,0.913445
440,14.666667,110.147,5,0.913556
450,15.0,112.814,5,0.912152
460,15.333333,107.99,5,0.909867
470,15.666667,107.197,5,0.912961
480,16.0,108.382,5,0.914126
490,16.333333,112.264,5,0.912827
500,16.666667,109.178,5,0.915055
510,17.0,114.572,5,0.914869
520,17.333333,108.276,6,0.916583
530,17.666667,108.485,6,0.916184
540,18.0,116.656,6,0.916208
550,18.333333,109.681,6,0.915635
560,18.666667,110.447,6,0.916571
570,19.0,110.609,6,0.91638
580,19.333333,108.63,6,0.916635
590,19.666667,109.76,6,0.916375
