frame_index,timestamp_s,inference_latency_ms,detection_count,max_confidence
0,0.0,106.273,0,0.0
5,0.166667,111.352,6,0.882453
10,0.333333,107.549,5,0.894559
15,0.5,105.762,6,0.904751
20,0.666667,109.276,6,0.908248
25,0.833333,109.379,5,0.909897
30,1.0,106.487,6,0.913399
35,1.166667,106.578,6,0.911858
40,1.333333,110.486,5,0.909281
45,1.5,110.124,5,0.910556
50,1.666667,108.307,5,0.911588
55,1.833333,107.398,5,0.91113
60,2.0,107.342,5,0.911138
65,2.166667,106.498,5,0.913658
70,2.333333,108.452,5,0.912476
75,2.5,108.813,5,0.91311
80,2.666667,108.513,5,0.912704
85,2.833333,108.104,5,0.913501
90,3.0,105.209,5,0.91353
95,3.166667,108.685,5,0.913609
100,3.333333,111.753,5,0.913491
105,3.5,106.961,5,0.913532
110,3.666667,108.2,5,0.913448
115,3.833333,108.731,5,0.913438
120,4.0,106.289,5,0.913419
125,4.166667,108.093,5,0.913477
130,4.333333,108.574,6,0.915301
135,4.5,114.884,6,0.916099
140,4.666667,118.085,6,0.914991
145,4.833333,106.806,6,0.914976
150,5.0,107.738,6,0.914666
155,5.166667,107.352,6,0.915623
160,5.333333,109.128,6,0.916736
165,5.5,105.636,6,0.916484
170,5.666667,106.604,6,0.915827
175,5.833333,108.162,6,0.915837
180,6.0,106.189,6,0.915161
185,6.166667,108.534,6,0.914282
190,6.333333,108.84,6,0.914647
195,6.5,106.021,6,0.914405
200,6.666667,107.421,6,0.913832
205,6.833333,108.715,6,0.914087
210,7.0,108.197,6,0.912933
215,7.166667,106.743,6,0.912622
220,7.333333,108.506,6,0.913571
225,7.5,105.65,6,0.914308
230,7.666667,108.549,6,0.914874
235,7.833333,106.306,6,0.915308
240,8.0,108.557,6,0.915698
245,8.166667,110.885,5,0.916084
250,8.333333,106.759,6,0.913777
255,8.5,106.927,6,0.913718
260,8.666667,108.226,6,0.913202
265,8.833333,105.731,6,0.914133
270,9.0,106.568,6,0.913674
275,9.166667,114.889,6,0.914149
280,9.333333,111.04,6,0.914439
285,9.5,107.833,6,0.914049
290,9.666667,107.674,6,0.913966
295,9.833333,105.728,6,0.913805
300,10.0,106.022,6,0.913177
305,10.166667,107.977,6,0.90673
310,10.333333,120.074,6,0.907233
315,10.5,119.606,6,0.908556
320,10.666667,107.549,6,0.909015
325,10.833333,109.696,6,0.908605
330,11.0,107.497,6,0.90947
335,11.166667,108.903,6,0.908911
340,11.333333,107.617,6,0.908817
345,11.5,108.288,6,0.908217
350,11.666667,108.176,6,0.907809
355,11.833333,108.263,6,0.90948
360,12.0,108.791,6,0.908371
365,12.166667,110.095,6,0.908624
370,12.333333,107.78,5,0.907872
375,12.5,105.925,6,0.907761
380,12.666667,106.236,6,0.907942
385,12.833333,106.162,5,0.910985
390,13.0,109.36,5,0.911604
395,13.166667,116.137,5,0.910806
400,13.333333,109.705,5,0.911365
405,13.5,109.315,5,0.911163
410,13.666667,105.928,5,0.911434
415,13.833333,104.649,5,0.911417
420,14.0,110.739,5,0.911365
425,14.166667,106.389,5,0.911413
430,14.333333,106.825,5,0.913445
435,14.5,106.866,5,0.913386
440,14.666667,106.504,5,0.913556
445,14.833333,111.183,5,0.912714
450,15.0,107.35,5,0.912152
455,15.166667,108.346,6,0.91201
460,15.333333,108.409,5,0.909867
465,15.5,108.708,5,0.910765
470,15.666667,107.864,5,0.912961
475,15.833333,107.298,5,0.912657
480,16.0,106.007,5,0.914126
485,16.166667,125.324,5,0.911902
490,16.333333,109.204,5,0.912827
495,16.5,107.127,5,0.912296
500,16.666667,107.179,5,0.915055
505,16.833333,106.871,5,0.914921
510,17.0,109.415,5,0.914869
515,17.166667,106.125,6,0.91639
520,17.333333,108.63,6,0.916583
525,17.5,107.379,6,0.916124
530,17.666667,106.461,6,0.916184
535,17.833333,107.202,6,0.916241
540,18.0,106.39,6,0.916208
545,18.166667,107.116,6,0.915848
550,18.333333,106.447,6,0.915635
555,18.5,109.976,6,0.91613
560,18.666667,107.98,6,0.916571
565,18.833333,106.254,6,0.916212
570,19.0,107.557,6,0.91638
575,19.166667,108.745,6,0.91642
580,19.333333,113.709,6,0.916635
585,19.5,108.461,6,0.916435
590,19.666667,109.865,6,0.916375
595,19.833333,106.142,6,0.916375
